order_item_id,order_id,product_id,quantity,unit_price
ITEM000001,ORD000001,P001,1,2499
ITEM000002,ORD000001,P002,1,3999
ITEM000003,ORD000002,P008,1,1799
ITEM000004,ORD000003,P006,1,2999
ITEM000005,ORD000004,P001,1,2499
ITEM000006,ORD000005,P001,1,2499
ITEM000007,ORD000005,P003,1,1299
ITEM000008,ORD000005,P004,1,499
ITEM000009,ORD000006,P007,1,999
ITEM000010,ORD000006,P005,1,699
ITEM000011,ORD000007,P001,1,2499
ITEM000012,ORD000007,P002,1,3999
ITEM000013,ORD000007,P004,1,499
ITEM000014,ORD000008,P001,1,2499
ITEM000015,ORD000008,P006,1,2999
ITEM000016,ORD000008,P002,1,3999
ITEM000017,ORD000009,P002,1,3999
ITEM000018,ORD000009,P009,1,1499
ITEM000019,ORD000009,P006,1,2999
ITEM000020,ORD000010,P003,1,1299
ITEM000021,ORD000010,P007,1,999
ITEM000022,ORD000011,P007,1,999
ITEM000023,ORD000011,P006,1,2999
ITEM000024,ORD000011,P003,1,1299
ITEM000025,ORD000012,P002,1,3999
ITEM000026,ORD000012,P001,1,2499
ITEM000027,ORD000013,P001,1,2499
ITEM000028,ORD000013,P004,1,499
ITEM000029,ORD000013,P003,1,1299
ITEM000030,ORD000014,P008,1,1799
ITEM000031,ORD000014,P004,1,499
ITEM000032,ORD000015,P004,1,499
ITEM000033,ORD000015,P002,1,3999
ITEM000034,ORD000016,P001,1,2499
ITEM000035,ORD000016,P006,1,2999
ITEM000036,ORD000017,P004,1,499
ITEM000037,ORD000018,P002,1,3999
ITEM000038,ORD000019,P006,1,2999
ITEM000039,ORD000019,P007,1,999
ITEM000040,ORD000020,P003,1,1299
ITEM000041,ORD000020,P010,1,899
ITEM000042,ORD000021,P005,1,699
ITEM000043,ORD000021,P003,1,1299
ITEM000044,ORD000022,P002,1,3999
ITEM000045,ORD000023,P007,1,999
ITEM000046,ORD000023,P010,1,899
ITEM000047,ORD000024,P009,1,1499
ITEM000048,ORD000024,P003,1,1299
ITEM000049,ORD000025,P001,1,2499
ITEM000050,ORD000025,P009,1,1499
ITEM000051,ORD000026,P007,1,999
ITEM000052,ORD000027,P001,1,2499
ITEM000053,ORD000027,P008,1,1799
ITEM000054,ORD000027,P002,1,3999
ITEM000055,ORD000028,P001,1,2499
ITEM000056,ORD000028,P006,1,2999
ITEM000057,ORD000029,P004,1,499
ITEM000058,ORD000030,P005,1,699
ITEM000059,ORD000030,P006,1,2999
ITEM000060,ORD000030,P008,1,1799
ITEM000061,ORD000031,P003,1,1299
ITEM000062,ORD000031,P006,1,2999
ITEM000063,ORD000032,P006,1,2999
ITEM000064,ORD000032,P009,1,1499
ITEM000065,ORD000032,P001,1,2499
ITEM000066,ORD000033,P005,1,699
ITEM000067,ORD000033,P001,1,2499
ITEM000068,ORD000034,P008,1,1799
ITEM000069,ORD000034,P010,1,899
ITEM000070,ORD000035,P001,1,2499
ITEM000071,ORD000035,P010,1,899
ITEM000072,ORD000035,P006,1,2999
ITEM000073,ORD000036,P001,1,2499
ITEM000074,ORD000036,P006,1,2999
ITEM000075,ORD000037,P009,1,1499
ITEM000076,ORD000037,P007,1,999
ITEM000077,ORD000038,P007,1,999
ITEM000078,ORD000038,P003,1,1299
ITEM000079,ORD000039,P009,1,1499
ITEM000080,ORD000039,P001,1,2499
ITEM000081,ORD000040,P010,1,899
ITEM000082,ORD000040,P001,1,2499
ITEM000083,ORD000041,P005,1,699
ITEM000084,ORD000041,P010,1,899
ITEM000085,ORD000042,P002,1,3999
ITEM000086,ORD000042,P008,1,1799
ITEM000087,ORD000042,P001,1,2499
ITEM000088,ORD000043,P006,1,2999
ITEM000089,ORD000044,P001,1,2499
ITEM000090,ORD000044,P004,1,499
ITEM000091,ORD000045,P009,1,1499
ITEM000092,ORD000045,P007,1,999
ITEM000093,ORD000046,P001,1,2499
ITEM000094,ORD000046,P009,1,1499
ITEM000095,ORD000046,P003,1,1299
ITEM000096,ORD000047,P001,1,2499
