order_id,customer_id,order_date,order_status,payment_method,total_amount
ORD000001,CUST00001,2026-05-07,completed,UPI,6498
ORD000002,CUST00001,2026-04-02,completed,Card,1799
ORD000003,CUST00001,2025-06-01,completed,NetBanking,2999
ORD000004,CUST00001,2026-06-10,completed,NetBanking,2499
ORD000005,CUST00001,2025-11-24,completed,COD,4297
ORD000006,CUST00001,2025-10-18,completed,COD,1698
ORD000007,CUST00002,2026-01-04,completed,Card,6997
ORD000008,CUST00003,2026-02-27,completed,Card,9497
ORD000009,CUST00004,2026-08-22,completed,UPI,8497
ORD000010,CUST00004,2026-08-18,completed,NetBanking,2298
ORD000011,CUST00004,2026-08-14,completed,Card,5297
ORD000012,CUST00004,2025-06-08,completed,UPI,6498
ORD000013,CUST00004,2025-11-20,completed,Card,4297
ORD000014,CUST00004,2025-06-14,completed,UPI,2298
ORD000015,CUST00006,2025-08-25,completed,NetBanking,4498
ORD000016,CUST00006,2026-04-16,completed,Card,5498
ORD000017,CUST00007,2025-04-25,cancelled,NetBanking,499
ORD000018,CUST00007,2025-12-29,completed,COD,3999
ORD000019,CUST00008,2026-03-05,completed,NetBanking,3998
ORD000020,CUST00008,2026-01-28,returned,Card,2198
ORD000021,CUST00008,2026-04-21,cancelled,COD,1998
ORD000022,CUST00008,2026-01-09,completed,COD,3999
ORD000023,CUST00008,2025-06-16,cancelled,UPI,1898
ORD000024,CUST00010,2025-04-30,completed,NetBanking,2798
ORD000025,CUST00011,2025-07-16,completed,Card,3998
ORD000026,CUST00012,2025-05-25,completed,COD,999
ORD000027,CUST00013,2026-03-26,cancelled,UPI,8297
ORD000028,CUST00014,2025-03-12,completed,Card,5498
ORD000029,CUST00014,2025-07-14,completed,Card,499
ORD000030,CUST00015,2025-04-01,completed,Card,5497
ORD000031,CUST00015,2025-11-16,completed,NetBanking,4298
ORD000032,CUST00015,2026-02-06,completed,Card,6997
ORD000033,CUST00015,2026-08-11,completed,Card,3198
ORD000034,CUST00016,2025-11-24,completed,UPI,2698
ORD000035,CUST00017,2025-03-24,completed,COD,6397
ORD000036,CUST00018,2025-11-21,completed,Card,5498
ORD000037,CUST00018,2025-10-12,completed,COD,2498
ORD000038,CUST00018,2025-10-30,completed,UPI,2298
ORD000039,CUST00018,2025-05-30,returned,COD,3998
ORD000040,CUST00018,2025-12-09,completed,UPI,3398
ORD000041,CUST00018,2025-09-29,completed,Card,1598
ORD000042,CUST00018,2025-08-20,cancelled,Card,8297
ORD000043,CUST00019,2026-01-10,completed,COD,2999
ORD000044,CUST00019,2026-06-29,completed,COD,2998
ORD000045,CUST00019,2026-07-19,completed,COD,2498
ORD000046,CUST00020,2025-07-31,completed,Card,5297
ORD000047,CUST00020,2025-03-02,completed,NetBanking,2499
ORD000048,CUST00020,2025-10-01,completed,COD,5197
ORD000049,CUST00020,2026-07-10,cancelled,NetBanking,3498
